0,F170207_161055_022_G_050
1,F170208_170549_064_G_050
2,F170211_162711_030_G_050
3,F170210_210115_095_G_050
4,F170209_181725_156_G_050
5,F170209_102744_241_G_050
6,F170212_200039_005_G_050
7,F170210_030903_007_G_050
8,F161213_113219_165_G_050
9,F170210_194215_108_G_050
10,F170211_120108_016_G_050
11,F170209_042741_077_G_050
12,F170209_192925_177_G_050
13,F170213_024411_243_G_050
14,F170207_025551_076_G_050
15,F170210_221712_179_G_050
16,F170208_224924_157_G_050
17,F170228_102211_076_G_050_T_25.2_H_50.2
18,F170209_014959_145_G_050
19,F170227_170755_213_G_050_T_25.2_H_53.6
20,F170208_061122_084_G_050
21,F170210_153005_178_G_050
22,F170209_144330_003_G_050
23,F170212_165854_140_G_050
24,F170213_090031_064_G_050
25,F170207_130535_006_G_050
26,F170209_095727_072_G_050
27,F170211_181008_120_G_050
28,F170210_090732_107_G_050
29,F170207_114116_071_G_050
30,F170207_122618_192_G_050
31,F170207_025558_081_G_050
32,F170210_085646_077_G_050
33,F170210_113822_244_G_050
34,F170209_205520_127_G_050
35,F170228_112641_247_G_050_T_25.2_H_58.9
36,F170211_093925_020_G_050
37,F170212_094624_219_G_050
38,F170212_194321_060_G_050
39,F170209_024933_114_G_050
40,F170210_194852_219_G_050
41,F170209_173021_123_G_050
42,F170212_051210_008_G_050
43,F170212_163906_058_G_050
44,F170207_000423_107_G_050
45,F161212_201259_109_G_050
46,F170210_130320_036_G_050
47,F170212_211909_054_G_050
48,F170207_162658_012_G_050
49,F170209_200110_015_G_050
50,F170208_090235_221_G_050
51,F170213_091523_195_G_050
52,F170209_142604_183_G_050
53,F170209_145829_234_G_050
54,F170210_194431_144_G_050
55,F170208_150232_253_G_050
56,F170208_195350_223_G_050
57,F170208_031325_188_G_050
58,F170209_201149_255_G_050
59,F170210_215917_116_G_050
60,F170209_205132_005_G_050
61,F170211_131253_097_G_050
62,F170210_094533_242_G_050
63,F170212_090201_196_G_050
64,F170209_131724_044_G_050
65,F170212_162522_146_G_050
66,F170209_143441_080_G_050
67,F170207_103332_154_G_050
68,F170209_150009_253_G_050
69,F170212_214346_229_G_050
70,F170228_102331_079_G_050_T_25.2_H_50.2
71,F170213_032640_175_G_050
72,F170207_145005_142_G_050
73,F170209_214600_040_G_050
74,F170211_184948_129_G_050
75,F170206_203013_063_G_050
76,F170207_160534_207_G_050
77,F170210_114034_013_G_050
78,F170208_145133_042_G_050
79,F170211_025006_168_G_050
80,F170210_143212_181_G_050
81,F170209_183155_116_G_050
82,F170102_184745_143_G_050
83,F170213_045223_231_G_050
84,F170211_135929_146_G_050
85,F170209_200714_154_G_050
86,F170213_094322_070_G_050
87,F170301_010900_127_G_050_T_25.2_H_55.5
88,F170210_114753_112_G_050
89,F170209_201343_033_G_050
90,F170211_184408_024_G_050
91,F170212_190147_161_G_050
92,F170207_224027_219_G_050
93,F170208_104924_190_G_050
94,F170210_205000_085_G_050
95,F170207_105938_167_G_050
96,F170209_092515_204_G_050
97,F170228_040434_027_G_050_T_25.2_H_53.6
98,F161213_042443_173_G_050
99,F170212_223052_107_G_050
100,F170212_103437_154_G_050
101,F170210_204420_232_G_050
102,F170207_131643_148_G_050
103,F170207_111616_058_G_050
104,F170211_100325_049_G_050
105,F170209_152132_034_G_050
106,F170212_162649_168_G_050
107,F170209_101834_115_G_050
108,F170210_090245_248_G_050
109,F170208_005442_050_G_050
110,F170211_090306_173_G_050
111,F170211_205748_237_G_050
112,F170206_204404_173_G_050
113,F170212_160920_136_G_050
114,F170211_071658_134_G_050
115,F170210_025637_083_G_050
116,F170210_200303_235_G_050
117,F170207_172307_018_G_050
118,F170208_232809_207_G_050
119,F170208_205202_113_G_050
120,F170211_150256_058_G_050
121,F170210_171508_025_G_050
122,F170211_130739_022_G_050
123,F170211_152428_043_G_050
124,F170208_150819_109_G_050
125,F170209_091754_076_G_050
126,F170212_171740_079_G_050
127,F170208_184334_178_G_050
128,F170209_162421_240_G_050
129,F170208_214158_202_G_050
130,F170209_122426_069_G_050
131,F170212_205407_120_G_050
132,F170208_172357_051_G_050
133,F161213_005351_109_G_050
134,F170210_161024_045_G_050
135,F170212_024123_186_G_050
136,F170211_223126_184_G_050
137,F170211_090552_242_G_050
